propID,propName,kabID,kabName,kecID,kecName,TahunProyek,TahunProgress,BulanProgress,Pencairan_Rp,Pencairan_APBN_Rp,Pencairan_APBD_Rp,Pencairan_Masyarakat_Rp,StartDate,EndDate,LastUpdate
35,JAWA TIMUR,3519,MADIUN,3519060,KARE,2008,2008,11,800000000,0,0,0,2008-11-19 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519070,GEMARANG,2008,2008,12,200000000,0,0,0,2008-12-11 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519080,SARADAN,2008,2008,11,400000000,0,0,0,2008-11-19 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519080,SARADAN,2008,2008,11,200000000,0,0,0,2008-11-05 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519080,SARADAN,2008,2008,5,14550000,0,0,0,2008-05-12 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519080,SARADAN,2008,2008,12,100000000,0,0,0,2008-12-10 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519080,SARADAN,2008,2008,5,23160000,0,0,0,2008-05-12 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519080,SARADAN,2008,2008,8,15440000,0,0,0,2008-08-12 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519090,PILANGKENCENG,2008,2008,12,100000000,0,0,0,2008-12-10 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519110,WONOASRI,2008,2008,8,9700000,0,0,0,2008-08-27 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519120,BALEREJO,2008,2008,12,100000000,0,0,0,2008-12-10 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519120,BALEREJO,2008,2008,11,400000000,0,0,0,2008-11-19 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519120,BALEREJO,2008,2008,8,11404000,0,0,0,2008-08-28 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519120,BALEREJO,2008,2008,5,26160000,0,0,0,2008-05-12 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519120,BALEREJO,2008,2008,5,17106000,0,0,0,2008-05-12 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3519,MADIUN,3519130,MADIUN,2008,2008,8,17440000,0,0,0,2008-08-12 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3522,BOJONEGORO,3522210,MALO,2008,2008,12,300000000,0,0,0,2008-12-15 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3523,TUBAN,3523030,SENORI,2008,2008,11,125000000,0,0,0,2008-11-10 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3523,TUBAN,3523030,SENORI,2008,2008,11,375000000,0,0,0,2008-11-21 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3523,TUBAN,3523070,SOKO,2008,2008,12,175000000,0,0,0,2008-12-10 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3523,TUBAN,3523070,SOKO,2008,2008,11,525000000,0,0,0,2008-11-21 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3523,TUBAN,3523080,RENGEL,2008,2008,11,450000
