Country Name,Indicator Name,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Ambon, Kota",Household per capita expenditure (in IDR),266364,384437,439557,,589518,698358,794777,916160,1036139.066
"Ambon, Kota",Housing and public facilities function expenditure (in IDR),,,,,,1509274328,1705238855,,
"Ambon, Kota",Human Development Index,76.18615,76.58033,77.46297,77.85892,,,71.25,,
"Ambon, Kota",Immunization Coverage for Children under 5 years old (in % of children population under 5 years old),95.59748077,96.27620697,97.1139679,96.07330322,98.85829926,93.32003784,95.72409821,95.69142151,97.26220703
"Ambon, Kota","Import: Animals and vegetable oil, fat and waxes (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Import: Beverages and tobacco (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Import: Chemical and related products, nes (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Import: Commodities and transaction not elsewhere classified (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Import: Crude materials, inedible, except fuels (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Import: Food and Live Animals (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Import: Machinery and transport equipment (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Import: Manufactured goods, classified chiefly by material (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Import: Mineral fuels, lubricants and related materials (province Level, in USD)",,,,,,,,,
"Ambon, Kota","Import: Miscellaneous manufactures articles (province Level, in USD)",,,,,,,,,
"Ambon, Kota",Infrastructure function expenditure (in IDR),17805340655,61321830562,,92335802874,,56053300779,73228681872,,
"Ambon, Kota","Length of District Road: Asphalt (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota",Length of District Road: Bad Damage (in km) (Bina Marga Data),,,,,,,,,
"Ambon, Kota","Length of District Road: Bad Damage (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of District Road: Dirt (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota",Length of District Road: Fair (in km) (Bina Marga Data),,,,,,,,,
"Ambon, Kota","Length of District Road: Fair (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota",Length of District Road: Good (in km) (Bina Marga Data),,,,276,,,,,
"Ambon, Kota","Length of District Road: Good (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of District Road: Gravel (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota",Length of District Road: Light Damage (in km) (Bina Marga Data),,,,7,,,,,
"Ambon, Kota","Length of District Road: Light Damage (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of District Road: Other (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of National Road: Asphalt (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of National Road: Bad Damage (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of National Road: Dirt (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of National Road: Fair (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of National Road: Good (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of National Road: Gravel (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of National Road: Light Damage (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of National Road: Other (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of Province Road: Asphalt (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of Province Road: Bad Damage (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of Province Road: Dirt (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of Province Road: Fair (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of Province Road: Good (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of Province Road: Gravel (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of Province Road: Light Damage (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota","Length of Province Road: Other (in km) (BPS Data, Province only)",,,,,,,,,
"Ambon, Kota",Literacy Rate for Population age 15 and over (in % of total population),99.04,98.62,99.19,99.09,99.19,99.59,98.58,98.41,99.04707336
"Ambon, Kota",Monthly Per Capita Household Education Expenditure (in IDR),7088,17560,14933,,30142,28916,33478,24413,49534.80848
"Ambon, Kota",Monthly Per Capita Household Health Expenditure (in IDR),3517,8707,7134,,7067,10957,24293,14783,19988.79661
"Ambon, Kota",Monthly Per Capita TOTAL Household Expenditure for The Poorest 20 percent (in IDR),128706,180078,181199,,271824,307759,283577,344302,471043.1048
"Ambon, Kota",Morbidity Rate (in %),27.86344,25.49388,35.2766,32.02271,25.25174,27.58472,22.87423,20.89596838,19.61192638
"Ambon, Kota",Net Enrollment Ratio: Junior Secondary (in %),60,85.23,65.24,62.85,76.4,66.45,60.79,62.92,60.37402725
"Ambon, Kota",Net Enrollment Ratio: Primary (in %),86.04,90.09,91.17,92.05,86.66,94.8,83.61,85.2,88.42702484
"Ambon, Kota",Net Enrollment Ratio: Senior Secondary (in %),57.26,69.33,67.92,71.77,58.4,56.8,51.84,40.77,51.44797897
"Ambon, Kota",Number of Doctors,78,,,61,,,93,,
"Ambon, Kota",Number of hospitals,12,,,,,,10,,
"Ambon, Kota",Number of Midwives,145,,,196,,,237,,
"Ambon, Kota",Number of people employed,,,79041,86664,86979,122334,132836,127043,136647
"Ambon, Kota","Number of people employed in agriculture, forestry and fishery",,,7030,14269,6815,11742,5541,5134,7756
"Ambon, Kota",Number of people employed in construction sector,,,5942,6112,8351,7059,10016,8040,13281
"Ambon, Kota",Number of people employed in electricity and utilities sector,,,843,941,608,232,1862,2829,1837
"Ambon, Kota",Number of people employed in financial services sector,,,1498,1357,3199,3503,5412,4267,5146
"Ambon, Kota",Number of people employed in industrial sector,,,4164,1651,3243,6263,11022,11865,8272
"Ambon, Kota",Number of people employed in mining and quarrying sector,,,379,1577,696,846,1418,1671,1208
"Ambon, Kota",Number of people employed in social services sector,,,26835,26376,30211,39703,43558,39543,47159
"Ambon, Kota","Number of people employed in trade, hotel and restaurant sector",,,19730,14929,22322,33930,41011,37328,39099
"Ambon, Kota",Number of people employed in transportation and telecommunication sector,,,12620,12244,11534,19056,12996,16366,12889
"Ambon, Kota",Number of people in labor force,,,96846,104067,105513,145072,148799,143688,160646
"Ambon, Kota",Number of people live below the poverty line (in number of people),15400,18100,16800,21200,21100,25600,23400,22300,17000
"Ambon, Kota",Number of people underemployed,,,14022,21997,13758,26715,34571,29426,33670
